,G547 N,G547 T,G576 N,G576 T,G652 N,G652 T,G659 N,G659 T,G691 N,G691 T,G696 N,G696 T,G699 N,G699 T,G761 N,G761 T,G850 N,G850 T,G871 N,G871 T,G701 N,G701 T,G013 N,G013 T,G603 N,G603 T,G026 N,G026 T,G220 N,G220 T,G575 N,G575 T,G613 N,G613 T,G702 N,G702 T,G623 N,G623 T,G645 N,G645 T,G529 N,G529 T,G648 N,G648 T,G601 N,G601 T,G727 N,G727 T,G001 N,G001 T,G243 N,G243 T,G531 N,G531 T,G612 N,G612 T,G428 N,G428 T,G699N_2*,G761T_2*
miR-218,8,8,53,68,31,5,243,0,63,6,6,2,1,5,181,1,4,1,93,27,185,9,307,145,98,6,141,177,7,27,673,0,1783,34,759,2,1203,105,642,1,450,244,393,1,209,79,93,3,6,309,915,32,517,41,90,0,0,0,34,5
miR-218-1*,0,0,1,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,3,0,7,0,0,0,3,2,7,1,3,2,3,0,1,1,2,0,0,0,6,0,1,0,0,0,0,0,2,0
miR-218-2*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
miR-219-1-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
miR-219-2-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
miR-219-5p,1,2,0,4,1,0,0,1,0,0,0,0,0,2,3,0,0,2,1,0,0,0,0,0,2,0,0,8,0,2,1,0,1,2,0,0,3,1,2,0,4,6,3,0,0,1,0,0,0,3,1,1,0,3,1,0,0,0,0,0
miR-22,14,181,128,1361,48,26,312,93,477,36,20,6,2,306,138,0,43,357,116,18,53,8,799,2776,521,42,1957,1826,17,83,542,5,531,1322,767,103,2964,2975,204,15,1199,1722,131,0,88,4522,92,18,126,53,3463,5569,76,1452,56,7,88,240,107,1
miR-22*,0,13,6,122,2,2,29,6,16,6,0,2,0,4,11,0,2,8,9,0,5,4,48,16,15,5,10,234,0,16,48,2,38,48,83,7,238,120,13,0,54,313,3,0,2,46,13,1,0,7,72,86,6,133,3,0,0,0,3,0
miR-221,12,277,62,1097,151,69,216,125,224,53,101,4,1,362,206,1,5,25,94,13,106,13,182,150,366,54,67,8955,1,99,250,12,235,434,260,37,864,850,310,7,562,2319,356,9,95,965,46,55,13,52,1954,427,117,1112,70,8,0,0,29,2
miR-221*,0,4,0,18,1,3,8,1,2,2,1,0,1,1,17,0,1,1,5,0,3,0,9,14,1,0,2,79,0,3,8,1,10,20,16,0,19,19,18,0,7,28,28,0,4,9,3,0,0,0,22,3,5,14,4,1,0,0,0,0
miR-222,10,92,30,948,67,155,245,71,97,98,28,10,0,165,233,7,10,23,153,19,95,12,101,108,131,27,43,6035,1,91,345,4,152,449,145,1,458,643,319,1,248,1568,1040,5,43,1216,89,7,11,38,1243,211,62,1117,44,15,2,0,33,2
miR-222*,0,3,0,2,0,12,0,3,1,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,4,0,23,0,0,1,0,2,2,2,28,1,1,0,0,0,2,1,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,0
miR-223,5,53,54,1422,14,319,198,330,26,799,9,12,5,453,128,3,261,347,37,30,61,110,119,404,70,29,129,19947,5,218,171,50,647,1639,4058,305,741,3095,235,0,1048,61747,66,30,144,416,12,9,0,76,1414,1084,227,2758,16,12,9,199,165,11
miR-223*,0,0,0,1,0,1,0,0,0,5,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,19,0,0,1,0,4,2,8,0,0,1,0,0,0,38,0,0,0,1,0,0,0,0,4,1,0,1,1,0,0,0,0,0
miR-224,0,34,15,353,11,39,28,56,20,50,2,1,0,1,4,2,11,10,18,8,6,5,15,5,21,21,3,2021,1,44,79,11,47,15,64,3,171,136,63,0,13,712,30,23,3,43,14,2,0,6,99,111,10,414,3,6,1,3,4,1
miR-23a,336,733,571,889,813,278,1137,522,1583,267,151,47,11,422,1936,15,503,4079,1138,233,797,158,1306,1226,1638,214,467,2714,210,793,1745,131,1826,1506,1370,545,2496,1388,1962,9,653,1766,1518,47,1129,1475,735,91,94,47,10578,5950,2206,7012,1659,101,8,11,442,38
miR-23a*,0,2,0,0,10,0,0,0,5,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,22,1,0,19,1,2,1,0,1,0,5,0,2,1,16,0,0,6,1,0,1,3,2,0,1,1,2,7,0,10,0,1,0,0,23,0
miR-23b,342,357,408,288,1046,120,1644,280,1106,122,313,30,10,183,3865,9,292,4371,2462,211,1456,116,2273,1120,2300,114,886,930,135,367,2731,78,2974,1509,1721,463,4071,767,3226,4,1172,960,4206,19,1726,582,1159,19,47,27,16957,986,3525,2249,2774,47,13,3,507,27
miR-23b*,1,4,2,2,2,0,4,1,1,1,0,0,0,5,4,0,0,0,4,0,2,0,5,3,9,3,7,27,0,1,4,0,9,4,11,0,24,0,12,0,12,4,11,0,4,2,2,1,0,1,34,3,5,3,1,0,0,0,5,0
miR-24,120,591,267,1259,1369,279,1112,354,1574,298,195,11,13,767,410,9,0,258,538,42,564,50,1608,1018,679,106,581,10722,24,455,1282,56,3136,1181,3088,30,4895,1152,1177,24,971,8156,1400,15,478,1796,381,9,57,567,8110,1451,521,1692,163,20,1,12,210,6
miR-24-1*,1,6,0,0,5,0,5,1,16,1,1,0,0,7,11,0,0,2,6,0,0,0,5,0,0,0,0,2,0,1,0,0,7,3,2,0,1,0,1,0,1,2,1,0,2,2,4,0,0,1,2,0,0,1,0,0,0,0,0,0
miR-24-2*,0,7,0,6,1,7,4,1,14,3,1,0,1,4,9,1,10,24,3,0,1,1,6,0,0,0,0,2,0,1,2,0,4,0,1,0,1,2,2,1,1,3,1,0,1,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0
miR-25,10,88,61,797,77,116,135,103,18,149,11,12,1,222,162,2,122,65,434,55,117,25,169,111,309,110,103,3378,36,188,887,35,561,260,669,26,636,939,934,33,507,2456,1583,12,142,620,52,81,25,658,617,292,208,689,129,27,0,0,288,7
miR-25*,0,1,0,22,0,4,4,0,0,4,0,1,0,7,1,1,0,3,3,1,2,0,3,4,4,4,3,400,0,9,2,1,6,5,12,2,14,26,8,4,5,146,0,2,1,60,1,1,0,25,34,25,2,53,1,2,0,0,3,0
miR-26a,1784,1865,1542,28696,4778,3240,15412,900,680,3735,228,443,29,4985,6906,32,734,1438,9817,2025,5623,733,13960,12718,15042,837,13096,31592,287,2854,35159,334,54672,13914,43577,768,40846,34642,34952,3,67694,63056,62961,67,7240,6109,2520,46,412,4917,55046,7741,16162,22062,4215,105,7,39,1545,153
miR-26a-1*,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,2,0,4,0,0,4,0,0,12,0,13,2,4,0,5,0,6,0,0,2,4,0,0,0,0,0,0,0,5,0,2,0,1,0,0,0,0,0
miR-26a-2*,1,0,0,14,1,0,9,2,0,2,0,0,0,0,20,0,3,0,9,2,8,2,19,9,11,2,6,32,1,4,106,0,170,5,55,0,73,7,125,0,23,29,143,0,3,8,11,0,0,2,31,0,20,10,8,0,1,0,1,0
miR-26b,132,121,140,1877,1034,658,2565,41,154,637,46,39,0,110,1258,7,371,114,2366,280,944,81,3752,840,3024,91,890,9719,72,339,6718,39,11920,994,8694,49,11567,2014,4488,1,4275,14448,9383,14,1983,353,824,8,16,236,13470,330,4044,1048,696,6,1,0,89,16
miR-26b*,0,0,3,3,3,1,7,1,1,0,0,0,0,2,10,0,1,0,5,2,4,0,9,3,8,1,1,84,0,27,25,1,36,8,44,0,8,23,36,0,11,143,58,0,5,2,10,0,0,0,14,1,8,6,5,0,0,0,5,0
miR-27a,240,440,210,329,640,812,387,241,530,896,28,41,14,387,361,9,244,1240,255,79,234,98,667,693,203,115,145,1515,44,600,271,154,534,1260,825,389,456,555,362,30,150,943,198,28,427,386,580,73,30,151,5761,4218,1072,3638,419,51,5,81,137,30
miR-27a*,0,6,0,18,0,5,0,8,2,0,3,0,1,14,0,0,0,2,1,0,0,0,0,19,3,0,0,31,0,0,1,1,1,6,11,1,8,15,1,1,11,3,1,0,6,41,2,0,0,0,23,36,1,74,1,0,0,0,2,0
miR-27b,537,341,421,228,1624,572,1122,171,1058,1037,98,71,50,241,1401,14,245,1054,1133,235,1061,163,1375,480,620,202,285,1379,60,745,904,251,1561,1718,1416,366,1116,391,921,40,470,975,1048,19,1264,283,1093,50,77,378,17747,1211,3650,1838,999,62,7,35,455,29
miR-27b*,12,31,11,344,5,3,119,27,18,1,2,0,0,47,38,0,1,15,26,4,107,3,70,1548,54,10,458,851,1,9,147,2,187,1747,204,53,625,1926,106,2,1817,416,279,0,20,836,29,1,3,4,520,103,78,583,15,3,0,0,17,0
miR-28-3p,57,37,157,303,183,180,950,13,170,368,17,93,3,67,198,17,13,25,350,240,589,47,474,66,1035,366,77,2248,7,301,2148,26,1238,56,1194,11,2730,230,1592,12,267,3133,2686,24,68,276,258,54,42,549,2938,98,196,456,73,58,3,0,346,22
miR-28-5p,87,205,97,431,112,115,524,23,184,194,24,7,8,243,244,1,9,26,168,3,416,29,661,273,401,23,429,1918,2,24,915,2,1698,147,1164,16,1775,492,717,3,630,1952,1107,2,142,452,341,1,9,45,3666,343,233,468,63,3,6,1,99,2
miR-296-3p,0,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,0,1,1,0,0,0,0,1,4,0,1,2,0,0,2,0,0,1,0,1,2,1,4,0,1,1,0,0,2,2,0,0,1,0,3,9,1,7,0,0,0,0,0,0
miR-299-3p,0,0,3,3,2,0,0,0,3,2,0,0,0,0,2,0,0,0,6,0,3,1,8,3,38,0,1,30,1,0,9,0,21,3,11,0,21,7,10,0,5,48,16,0,3,1,0,0,7,1,35,0,3,1,0,0,0,0,1,0
miR-299-5p,1,3,2,7,3,1,4,0,1,4,0,0,0,1,4,0,0,0,6,1,2,3,12,15,15,3,16,16,3,1,13,1,81,2,40,0,18,10,11,0,33,28,7,0,6,1,2,0,0,2,25,1,12,6,0,0,9,1,0,0
miR-29a,320,413,447,4619,904,1398,2532,220,341,1399,44,57,21,1127,1579,16,144,466,1753,354,894,144,3642,2287,1331,106,1422,6129,53,896,3336,93,7090,4587,6524,121,5014,8132,5383,9,6775,16713,10438,16,1230,1964,1226,41,256,789,11456,2772,2030,2249,1006,69,4,1,296,17
miR-29a*,7,4,18,51,3,6,70,4,9,4,1,0,0,11,77,1,1,13,60,2,106,8,273,87,79,8,88,353,2,29,207,1,473,133,309,6,407,202,387,1,175,531,856,0,70,165,107,0,47,10,628,85,124,63,73,5,0,0,16,1
miR-29b,131,188,154,179,383,491,337,232,380,343,89,17,9,447,284,2,126,297,102,73,249,44,4308,2673,1988,21,2021,3618,61,473,1101,57,2024,2985,3302,61,2439,3423,1566,2,1889,8825,2110,4,884,832,281,4,70,159,9832,937,936,715,491,26,9,6,62,9
miR-29b-1*,0,2,2,8,0,0,8,5,1,1,0,0,0,4,3,0,1,0,2,0,8,2,6,3,3,0,7,17,1,4,9,0,20,3,9,0,27,15,23,0,6,26,26,0,1,16,8,1,1,0,35,10,5,10,1,0,0,0,4,0
miR-29b-2*,1,2,0,7,8,0,8,1,6,2,0,0,1,5,5,0,0,1,8,1,10,2,6,5,5,2,5,41,0,8,50,2,15,2,32,0,96,13,50,0,27,89,85,0,3,3,12,0,1,4,61,3,17,4,6,0,0,0,7,0
miR-29c,186,205,159,300,627,491,376,147,180,467,60,17,11,502,353,7,124,230,160,132,330,48,1879,936,526,21,869,3504,26,272,1230,43,3202,3411,3450,54,2783,3602,2593,3,4383,10108,5668,9,1012,1102,477,35,103,231,7944,584,1694,904,513,42,0,0,156,8
miR-29c*,10,9,13,102,13,9,29,2,10,10,0,1,0,46,41,0,6,11,8,2,23,3,95,53,43,6,199,288,6,59,68,5,149,242,243,10,177,299,250,1,288,370,203,1,37,112,33,1,21,15,336,47,102,75,27,3,1,0,17,0
miR-301a,3,16,4,46,14,33,47,16,9,17,1,0,0,32,16,0,6,5,24,4,20,1,22,10,21,6,4,211,1,9,78,0,67,8,56,2,120,29,53,0,49,160,122,2,18,14,16,0,1,397,152,12,17,55,20,0,0,0,3,0
miR-301b,0,1,0,2,0,4,1,1,2,0,0,0,0,3,1,0,1,0,2,0,0,1,0,1,0,0,0,22,0,0,3,0,5,2,6,0,3,6,1,0,7,20,3,0,1,2,0,0,0,46,12,2,0,2,0,0,0,0,0,0
miR-302a*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-302b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-302b*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-302c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-302d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
miR-30a,28,243,49,1616,51,165,318,4,29,323,3,11,4,214,131,1,22,30,148,20,114,8,380,232,96,10,261,555,13,55,394,4,988,189,1201,24,1083,339,261,0,3019,1533,490,2,265,531,40,10,5,356,1153,172,338,300,99,0,0,10,31,0
miR-30a*,5,44,30,143,22,70,115,4,22,154,5,16,0,15,272,11,26,16,248,152,145,13,323,98,402,122,502,462,27,647,3268,47,3199,190,2327,18,4992,466,1752,5,3724,2509,3451,133,307,483,189,21,15,2441,1503,98,621,150,475,52,0,0,310,127
miR-30b,64,52,117,192,102,87,299,43,40,246,12,4,4,100,218,1,79,107,255,87,185,36,117,112,107,38,63,149,15,282,129,26,230,220,183,35,167,244,138,1,420,156,114,6,223,147,97,1,30,870,3884,566,1198,957,231,17,38,118,109,6
miR-30b*,1,1,2,2,1,2,3,1,2,4,0,1,0,2,10,1,0,1,17,2,5,1,13,5,17,6,5,48,0,6,45,3,32,5,33,1,23,13,41,5,24,18,48,0,13,7,3,1,7,24,36,10,8,5,8,3,0,0,19,0
miR-30c,55,52,81,213,110,136,313,37,27,133,7,10,2,61,211,1,183,153,144,56,150,33,176,154,122,34,116,235,37,276,82,22,163,105,273,27,143,147,107,0,205,277,79,7,283,146,114,3,10,243,4484,370,997,824,292,11,18,66,91,2
miR-30c-1*,1,3,3,18,2,4,8,2,0,7,0,2,0,2,5,8,0,4,5,14,2,0,17,25,35,26,35,132,0,66,33,17,66,23,84,2,58,37,38,43,58,89,30,3,13,41,7,0,6,86,63,24,21,24,0,10,3,1,14,3
miR-30c-2*,0,1,2,6,1,2,4,0,0,4,0,0,0,0,8,1,2,0,11,4,0,0,10,3,11,7,8,12,0,20,17,1,17,2,48,0,38,5,13,3,32,25,18,2,13,13,5,0,0,33,47,0,18,3,10,1,0,0,7,4
miR-30d,105,225,172,3767,219,122,515,177,58,316,7,32,5,1023,276,7,108,340,269,98,319,30,949,2469,542,42,4149,4494,63,221,1140,52,2369,3368,4424,177,1544,6611,1150,1,15298,4489,1450,10,620,3392,63,11,38,540,2423,1742,876,3895,207,17,7,78,242,12
miR-30d*,0,0,0,4,0,0,3,1,0,1,0,0,1,3,2,0,0,2,9,5,4,1,4,3,6,4,3,37,0,2,33,0,37,2,30,0,27,8,17,0,22,20,20,0,3,9,0,0,0,17,17,3,6,1,11,1,0,0,2,0
miR-30e,35,105,50,2038,62,364,373,77,25,388,7,7,2,544,117,5,27,146,126,22,119,10,347,401,83,16,295,3326,7,60,396,18,1333,1146,1116,80,857,1435,407,1,1381,3748,733,0,236,907,61,4,16,229,1361,550,363,1255,90,11,5,5,51,4
miR-30e*,36,34,46,201,79,185,181,30,19,204,14,76,0,46,304,34,69,134,205,742,282,27,409,392,539,365,723,2194,56,855,4303,451,4767,1227,3550,98,3859,2655,3540,19,3650,3861,6082,95,327,568,146,25,19,822,1910,462,987,1079,475,251,0,0,135,275
miR-31,1,74,2,919,4,215,0,174,1,227,2,1,7,438,36,0,17,293,16,10,0,6,3,519,3,44,35,3188,0,72,1,17,18,1035,23,91,13,564,11,0,338,1174,31,2,137,2273,2,1,1,1,766,2810,74,1930,29,18,4,101,7,0
miR-31*,0,3,0,43,0,2,0,16,0,3,0,0,0,7,5,1,0,25,2,2,0,2,0,41,0,9,3,434,0,29,0,2,2,166,5,16,5,40,2,0,31,129,6,0,14,75,1,2,0,0,20,47,11,112,5,7,0,1,1,0
miR-32,6,21,3,111,12,30,42,33,12,31,3,1,0,39,68,0,35,38,83,5,17,11,63,82,16,2,23,598,6,32,80,15,173,151,374,15,167,226,79,0,191,610,113,1,77,12,12,4,0,8,226,27,104,112,71,1,2,2,2,4
miR-32*,0,1,0,8,0,3,7,4,0,3,1,0,0,3,11,0,0,2,13,0,1,1,9,4,3,2,0,56,0,3,23,2,33,6,38,0,26,10,14,0,23,83,39,0,15,1,3,0,0,0,18,2,20,10,15,0,0,0,1,0
miR-320a,271,638,1184,5508,1064,168,1736,155,846,316,74,49,34,2992,577,30,136,378,884,199,186,20,832,1867,3500,73,2284,8833,48,242,1990,7,898,542,1605,148,4800,2736,3296,122,3245,4819,3329,9,351,8686,580,163,1107,1308,8372,5876,497,4781,522,53,36,42,2550,14
miR-323-3p,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,2,1,3,0,0,6,0,1,2,0,9,1,7,0,2,1,8,0,3,13,3,0,0,0,0,0,0,1,2,0,0,4,1,0,1,0,0,0
miR-324-3p,3,18,5,60,11,1,20,10,12,4,2,0,1,50,8,0,8,5,8,4,16,2,26,39,37,2,90,154,1,16,38,1,89,14,76,8,114,108,34,0,150,96,31,1,7,158,10,1,9,29,166,79,16,115,3,0,9,12,31,0
miR-324-5p,5,41,24,269,34,23,78,20,38,44,2,2,0,38,15,1,6,13,49,10,72,1,74,87,108,12,36,783,3,20,147,4,124,35,174,13,457,167,75,1,189,550,120,1,22,369,19,8,13,637,531,106,27,355,12,7,8,9,40,2
miR-326,0,0,3,0,4,1,0,0,3,2,0,0,0,0,6,2,2,0,2,7,1,1,8,0,17,1,0,50,0,15,5,1,8,0,35,0,15,0,17,0,0,66,7,1,4,0,1,0,4,1,37,0,8,0,3,0,0,0,3,0
miR-328,6,2,8,3,18,1,6,0,2,0,0,2,1,2,6,0,4,1,4,1,14,2,44,5,62,3,18,29,4,15,33,0,19,0,57,1,59,9,82,0,16,52,73,0,8,3,20,8,20,11,89,6,28,7,8,0,4,0,65,0
miR-329,1,0,1,4,0,0,2,1,2,0,1,0,1,0,2,0,0,0,11,2,0,0,3,13,2,0,5,13,0,2,2,0,22,1,21,0,9,21,9,1,4,21,3,0,2,1,3,0,1,5,13,2,2,6,1,0,3,0,0,0
miR-330-3p,0,1,1,2,2,4,3,2,2,1,0,0,0,6,2,0,0,2,3,2,1,0,3,2,1,0,1,33,0,1,3,0,4,1,3,0,11,11,3,0,3,24,3,0,1,0,2,0,0,8,11,6,1,20,1,0,2,3,2,0
miR-330-5p,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,3,2,0,0,0,16,0,0,1,0,3,1,4,0,3,4,0,0,0,11,1,0,1,1,1,0,0,0,4,1,0,1,0,0,0,0,0,0
miR-331-3p,0,31,6,2,29,1,38,19,33,6,12,1,0,5,40,0,2,5,15,3,18,6,49,6,53,2,5,164,3,15,52,1,101,0,57,3,135,3,55,0,2,111,65,0,18,12,24,0,1,40,155,1,21,2,15,0,0,0,8,0
miR-331-5p,0,1,1,5,5,0,7,0,1,6,0,0,0,4,3,0,1,2,1,0,4,0,3,1,11,1,4,55,0,2,16,2,15,7,15,0,29,14,11,0,19,40,10,1,2,5,3,0,0,4,21,11,0,10,0,1,0,0,1,0
miR-335,130,85,82,2239,217,506,1954,34,35,959,36,353,3,683,3874,49,577,336,2815,1299,1106,26,2998,886,2525,730,2647,3092,221,2529,6324,250,6556,893,2613,136,10386,3341,14871,71,12368,2107,29597,120,882,2015,1557,1075,49,4299,7052,2009,4336,1296,1308,173,52,216,465,204
miR-335*,1,0,0,38,2,3,10,0,0,10,0,0,0,9,10,0,9,15,15,0,14,1,11,6,9,0,4,127,3,6,41,5,69,16,30,7,31,25,71,0,65,39,62,0,10,5,2,1,0,3,29,25,39,35,7,0,0,0,1,0
miR-337-3p,4,4,4,16,6,0,50,0,7,1,2,3,0,0,47,0,0,3,36,11,83,5,49,56,31,2,16,146,0,24,143,1,707,7,310,2,245,60,184,0,71,245,131,0,13,1,26,2,1,1,97,3,43,11,24,0,0,0,4,0
miR-337-5p,0,4,2,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,0,2,5,1,1,1,0,6,0,3,0,4,4,2,0,2,3,3,0,0,1,3,0,1,3,5,1,0,3,1,0,0,0,0,0
miR-338-3p,16,46,11,30,12,5,23,9,5,41,4,0,1,23,24,0,25,28,7,4,10,2,14,26,9,1,21,220,0,17,12,0,40,16,770,4,69,36,5,0,64,379,30,0,13,16,4,0,0,16,151,39,28,21,3,0,0,10,4,0
miR-338-5p,2,6,0,6,0,0,5,0,0,8,0,0,1,3,2,0,1,3,1,0,0,1,1,4,3,0,6,38,0,2,3,0,12,2,116,1,8,12,2,0,44,70,8,0,1,1,0,0,0,1,20,11,3,8,1,0,0,0,0,0
miR-339-3p,8,15,16,244,16,26,20,12,5,23,1,0,5,50,28,0,3,22,26,4,27,0,48,372,42,2,269,180,1,16,45,3,156,414,107,16,92,866,144,6,649,205,166,1,56,694,17,0,69,56,378,360,49,317,20,3,4,7,27,1
miR-339-5p,5,3,2,29,22,37,11,2,16,22,0,0,3,19,13,1,17,25,8,3,12,1,27,49,17,4,30,195,1,50,17,8,34,40,80,11,53,80,33,0,33,124,30,1,24,49,13,3,24,85,116,55,18,74,6,3,0,0,7,0
miR-33a,2,101,3,19,5,1,6,12,10,6,12,0,2,42,6,1,0,7,1,3,12,1,7,11,2,4,27,58,0,27,6,4,21,5,10,1,15,15,25,7,22,17,66,1,12,32,7,0,4,41,38,34,3,71,6,5,1,0,2,0
miR-33a*,0,1,0,10,1,2,5,2,1,3,1,0,0,0,12,0,1,0,6,3,7,1,7,12,5,0,2,90,0,7,17,5,34,18,33,1,23,22,43,1,13,57,64,0,0,6,8,0,0,6,15,3,3,14,8,2,1,0,4,0
miR-33b,1,31,1,11,3,1,2,12,17,3,5,0,0,50,1,0,0,9,2,0,1,0,1,12,0,0,11,83,0,19,0,3,7,8,4,1,2,17,8,1,16,13,19,0,1,24,2,0,4,51,29,15,1,86,2,0,0,1,0,0
miR-33b*,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,3,0,0,0,0,1,0
miR-340,1,14,7,130,33,68,77,11,11,54,0,10,0,26,32,0,11,7,53,36,29,4,51,51,40,20,16,651,2,37,142,7,253,74,292,8,241,250,80,2,121,775,110,4,32,25,26,6,1,872,314,82,58,111,12,7,0,1,2,2
miR-340*,0,0,0,15,0,1,11,1,0,2,1,0,0,0,2,0,0,1,2,1,1,1,5,0,2,0,0,18,0,0,5,0,24,2,10,0,12,10,3,0,10,25,8,0,1,1,2,0,0,3,9,3,5,10,0,0,0,4,0,0
miR-342-3p,14,18,25,530,100,136,162,28,23,60,6,5,0,190,29,3,6,40,63,9,34,16,81,179,137,9,110,789,3,82,127,2,127,205,487,6,987,1243,142,0,197,1203,112,6,53,242,13,27,6,352,591,203,71,656,11,2,1,8,24,2
miR-342-5p,0,1,0,5,4,5,6,0,4,3,0,1,0,5,0,0,0,0,0,0,2,0,3,4,0,0,0,10,0,1,0,0,3,4,6,0,13,16,1,0,11,36,2,0,0,15,1,0,2,29,68,4,0,12,0,0,0,0,0,0
miR-345,0,16,3,63,4,6,8,7,3,3,0,0,0,56,27,1,1,9,11,2,7,0,7,18,19,1,3,130,0,20,27,5,15,23,17,2,16,29,88,0,51,132,69,0,11,80,43,0,19,54,63,48,3,123,39,1,4,0,6,0
miR-346,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,2,3,0,0,1,1,0,0,7,0,8,2,0,0,0,9,0,0,0,0,0,0,0,8,5,0,0,1,0,0,0,0,2,0
miR-34a,17,85,24,161,30,106,30,60,28,185,9,1,5,67,16,0,0,29,19,3,44,4,32,34,15,24,5,2242,1,44,30,1,68,50,190,4,68,95,53,1,99,1405,111,1,37,61,8,2,8,28,401,63,35,140,6,1,0,1,19,0
miR-34a*,2,3,1,22,2,4,3,0,0,5,0,0,0,0,1,0,0,3,2,1,1,0,2,6,1,1,0,68,0,2,1,0,5,8,6,0,4,16,12,0,8,57,17,0,1,1,0,1,0,0,10,5,7,12,1,0,1,1,0,0
miR-34b,0,0,0,7,0,1,0,0,0,0,3,0,0,0,51,0,1,0,0,0,0,0,1,2,0,0,1,6,0,0,0,0,0,1,1,0,0,7,3,0,770,8,1,0,135,4,0,0,1,0,233,0,176,6,202,0,0,0,8,0
miR-34b*,0,3,0,4,0,1,0,0,0,1,23,0,3,11,14,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0,0,1,1,2,0,1,0,0,334,26,2,0,31,8,0,0,2,2,375,1,47,10,49,0,0,0,1,0
miR-34c-3p,0,0,0,9,0,1,0,0,1,0,2,0,0,4,28,0,0,2,1,0,1,0,0,0,0,0,0,9,0,0,1,0,1,2,1,1,2,1,0,0,552,14,1,0,48,12,0,0,4,0,276,8,101,1,47,0,0,0,19,0
miR-34c-5p,0,0,0,16,1,1,0,0,3,2,11,0,1,8,15,0,0,1,1,0,0,0,0,0,0,0,1,12,0,0,0,0,0,2,0,2,0,1,0,1,769,27,2,0,46,16,0,0,1,4,526,1,87,4,74,0,0,0,2,0
miR-361-3p,1,28,11,386,20,7,10,22,14,8,3,0,0,241,8,0,0,27,11,1,10,0,28,204,13,1,179,100,0,9,18,0,36,367,42,22,68,1663,46,0,1550,87,50,0,34,506,6,1,14,16,149,261,28,562,8,0,0,7,16,0
miR-361-5p,17,30,37,484,94,50,160,19,26,123,2,2,0,35,121,1,4,17,193,22,61,8,154,120,290,36,105,1464,8,132,755,10,603,129,521,9,735,561,578,3,953,1788,877,4,148,139,52,2,9,512,1104,267,188,485,87,4,0,0,21,2
